Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDR60,OUT049,603.126953125
FDC50,OUT019,0.0
FDV24,OUT013,2071.501953125
DRF48,OUT010,0.0
FDQ47,OUT046,1005.845703125
DRN36,OUT049,1495.205078125
NCY06,OUT035,2290.873046875
FDE52,OUT035,2170.236328125
NCB54,OUT045,1776.568359375
NCF31,OUT035,2002.763671875
FDJ08,OUT027,4754.986328125
NCC07,OUT017,1327.845703125
NCD19,OUT027,2384.693359375
FDL46,OUT049,1404.685546875
FDM20,OUT045,4625.322265625
NCI06,OUT010,1578.119140625
DRM11,OUT035,3973.744140625
NCH07,OUT018,2345.982421875
FDS23,OUT013,2185.599609375
FDO49,OUT018,614.935546875
FDS35,OUT049,1020.623046875
DRK39,OUT045,1251.701171875
DRI39,OUT049,1469.857421875
FDV04,OUT017,1593.736328125
NCN14,OUT035,2485.845703125
FDH08,OUT013,3203.154296875
FDS20,OUT046,2873.748046875
FDV40,OUT049,879.466796875
FDZ48,OUT010,0.0
FDS24,OUT027,2559.138671875
FDK44,OUT049,1971.279296875
FDS48,OUT045,2046.978515625
FDK26,OUT010,1450.501953125
FDD23,OUT045,3260.509765625
NCH54,OUT017,2425.357421875
NCP14,OUT010,533.080078125
FDM60,OUT010,0.0
FDV24,OUT017,2153.572265625
FDH08,OUT018,2887.412109375
FDS12,OUT027,3974.123046875
FDR39,OUT027,5083.966796875
FDP12,OUT027,1846.958984375
DRF60,OUT027,6119.423828125
FDC09,OUT035,1470.443359375
FDF50,OUT018,2749.603515625
FDG28,OUT035,2674.333984375
NCE19,OUT017,1162.306640625
NCM53,OUT010,0.0
NCN18,OUT049,2752.849609375
FDF32,OUT035,2417.462890625
FDF11,OUT013,3249.119140625
DRI59,OUT049,3895.263671875
NCG54,OUT035,3647.943359375
FDM44,OUT046,1576.353515625
FDT57,OUT018,3129.638671875
FDV24,OUT046,2038.177734375
FDI50,OUT019,3115.427734375
FDS09,OUT035,915.552734375
NCC31,OUT027,3760.931640625
FDQ07,OUT019,1400.966796875
FDC22,OUT017,2967.544921875
FDZ56,OUT046,2842.853515625
FDZ40,OUT019,0.0
FDS46,OUT027,3480.119140625
DRD24,OUT045,1984.951171875
FDV45,OUT017,3777.173828125
FDL26,OUT045,3108.013671875
FDA56,OUT018,2169.591796875
FDN27,OUT046,1460.505859375
FDM20,OUT049,4770.185546875
FDO16,OUT017,2215.505859375
FDL03,OUT035,2697.927734375
FDE58,OUT046,1970.119140625
FDI02,OUT027,3329.361328125
NCC55,OUT019,0.0
FDR03,OUT018,3811.326171875
FDB14,OUT017,1980.150390625
FDR45,OUT013,5668.330078125
NCN07,OUT017,1962.810546875
FDM51,OUT019,0.0
FDT52,OUT027,4856.587890625
FDL26,OUT046,3164.458984375
NCZ42,OUT046,4144.060546875
DRI47,OUT019,719.916015625
FDW40,OUT013,2902.349609375
FDN34,OUT046,3291.587890625
FDS01,OUT035,2830.275390625
NCG55,OUT045,2302.537109375
FDC11,OUT035,1868.314453125
FDX35,OUT018,3305.423828125
NCB06,OUT046,2627.048828125
FDR09,OUT019,1440.935546875
FDC53,OUT017,1459.193359375
FDY45,OUT013,3527.302734375
FDA22,OUT010,1410.951171875
FDE02,OUT035,1987.341796875
FDW21,OUT045,1322.595703125
FDV34,OUT046,1270.970703125
FDS59,OUT049,2128.154296875
NCW17,OUT017,2837.580078125
NCK54,OUT046,1615.650390625
FDG17,OUT019,3090.630859375
FDG35,OUT017,2119.818359375
FDD08,OUT010,0.0
NCO07,OUT017,3029.654296875
FDJ10,OUT010,108.330078125
FDW36,OUT017,1435.498046875
FDW21,OUT010,0.0
FDY19,OUT017,2615.162109375
DRE03,OUT013,953.490234375
NCC55,OUT049,727.837890625
FDH52,OUT010,0.0
FDO09,OUT017,4288.455078125
FDU43,OUT045,2055.076171875
FDX09,OUT010,1311.787109375
FDH40,OUT019,0.0
FDW58,OUT017,1713.185546875
FDC47,OUT017,4665.244140625
NCR41,OUT035,1861.568359375
DRG49,OUT035,4017.611328125
FDC52,OUT027,3430.408203125
FDY13,OUT046,1529.349609375
FDY35,OUT013,1190.994140625
FDI35,OUT017,4092.435546875
NCU18,OUT049,2492.490234375
FDY33,OUT018,3029.904296875
FDC15,OUT027,3643.595703125
FDU01,OUT049,3272.666015625
NCU42,OUT046,3713.919921875
NCV29,OUT018,2410.009765625
NCY30,OUT017,3024.384765625
FDQ46,OUT049,1864.619140625
FDG58,OUT027,3799.349609375
FDK33,OUT017,3656.619140625
NCD07,OUT045,1126.279296875
NCX29,OUT027,3830.638671875
NCT42,OUT013,1746.830078125
DRN59,OUT035,565.650390625
FDI44,OUT035,1245.470703125
FDA45,OUT049,2616.759765625
FDP31,OUT045,653.716796875
FDY01,OUT046,1872.146484375
FDT09,OUT018,1935.787109375
DRH03,OUT027,2842.822265625
FDA36,OUT018,1820.947265625
NCF31,OUT017,1958.861328125
FDG14,OUT049,3888.990234375
FDG28,OUT027,3957.501953125
FDU14,OUT049,4260.283203125
FDY47,OUT019,0.0
FDI56,OUT049,1973.349609375
DRD01,OUT013,879.525390625
FDM22,OUT046,1103.400390625
FDH33,OUT013,840.873046875
DRZ24,OUT013,2315.634765625
NCQ38,OUT046,1568.603515625
FDO16,OUT027,3542.427734375
FDU07,OUT027,3710.033203125
NCB07,OUT013,3378.419921875
FDU48,OUT045,1200.611328125
NCM43,OUT045,2541.806640625
FDR31,OUT010,666.517578125
DRK49,OUT018,312.123046875
NCI30,OUT010,872.373046875
DRD60,OUT017,3034.947265625
NCG19,OUT046,2282.708984375
FDH12,OUT035,1901.693359375
FDM32,OUT035,1486.880859375
FDM27,OUT035,2685.072265625
NCU53,OUT027,3399.951171875
NCQ18,OUT046,1684.619140625
FDS10,OUT013,2878.166015625
FDB33,OUT027,4668.939453125
FDI12,OUT013,1139.076171875
NCW42,OUT013,3196.193359375
NCC06,OUT018,2949.990234375
FDW02,OUT017,2845.251953125
NCD43,OUT017,1572.044921875
FDM57,OUT018,816.349609375
FDA58,OUT017,2250.912109375
FDK56,OUT046,2947.837890625
FDP52,OUT045,4226.017578125
FDW20,OUT018,1761.673828125
FDS52,OUT049,1807.701171875
NCT29,OUT018,1488.435546875
NCL54,OUT013,2976.451171875
FDC05,OUT045,2781.025390625
FDF34,OUT035,3040.255859375
FDP03,OUT027,3542.779296875
FDD32,OUT010,0.0
FDZ10,OUT045,2170.427734375
FDZ40,OUT035,760.791015625
FDD51,OUT018,202.369140625
NCY30,OUT019,1028.779296875
FDP58,OUT017,3162.029296875
FDV49,OUT017,4516.033203125
FDY24,OUT019,0.0
NCO55,OUT017,1885.615234375
FDR13,OUT017,1366.310546875
FDS51,OUT017,616.599609375
FDP26,OUT045,1356.357421875
NCB54,OUT027,3275.537109375
FDF32,OUT017,2373.564453125
FDN31,OUT018,2025.642578125
DRM48,OUT017,622.919921875
FDN20,OUT049,2993.947265625
DRL01,OUT046,4587.771484375
FDV56,OUT049,585.865234375
DRH13,OUT027,2689.248046875
FDA03,OUT017,2407.751953125
FDF47,OUT027,3907.544921875
FDX32,OUT046,2353.689453125
FDX57,OUT049,1858.521484375
NCA30,OUT045,2613.349609375
FDO49,OUT013,930.736328125
FDL04,OUT019,0.0
DRM48,OUT035,666.927734375
FDR16,OUT013,4746.939453125
NCC19,OUT018,3363.373046875
NCE42,OUT045,4486.560546875
FDY24,OUT017,1327.400390625
FDH19,OUT049,3101.857421875
FDJ46,OUT013,2811.537109375
FDN45,OUT010,1128.447265625
FDY08,OUT035,2066.638671875
FDZ37,OUT035,915.181640625
NCT30,OUT045,1034.580078125
DRY23,OUT018,237.857421875
NCZ30,OUT018,1544.583984375
FDC44,OUT018,1864.623046875
FDB45,OUT035,1745.583984375
FDY04,OUT013,2181.240234375
FDM27,OUT046,2585.302734375
FDZ43,OUT017,4595.083984375
FDT39,OUT019,624.294921875
NCC06,OUT019,1352.115234375
FDL15,OUT027,3406.349609375
FDL57,OUT017,4918.126953125
FDU08,OUT046,1224.333984375
FDK40,OUT017,4758.814453125
FDQ12,OUT010,800.408203125
FDS48,OUT017,2208.439453125
FDP09,OUT045,3351.599609375
FDW21,OUT049,1467.466796875
FDY25,OUT035,4895.845703125
DRE13,OUT017,1334.603515625
FDV43,OUT019,0.0
FDD22,OUT045,3396.154296875
FDM46,OUT019,0.0
NCO30,OUT010,657.044921875
FDM25,OUT046,2919.849609375
NCN41,OUT049,2036.146484375
FDU24,OUT045,1797.798828125
FDZ50,OUT046,4718.951171875
FDP45,OUT013,2936.607421875
NCM54,OUT045,2365.080078125
FDW10,OUT019,2019.283203125
FDP20,OUT017,1362.033203125
FDK32,OUT046,3116.857421875
FDN52,OUT049,215.193359375
FDM58,OUT045,2248.115234375
FDZ46,OUT027,2969.826171875
NCA18,OUT018,1250.115234375
FDD35,OUT046,1984.162109375
NCK31,OUT035,507.537109375
FDI40,OUT027,3084.357421875
FDT50,OUT019,0.0
NCT06,OUT046,2392.630859375
FDT31,OUT035,3107.111328125
FDT45,OUT049,1033.630859375
FDT13,OUT045,3096.638671875
FDO50,OUT045,1446.576171875
NCU18,OUT010,467.310546875
NCR54,OUT049,2599.544921875
NCO18,OUT018,2795.982421875
FDU09,OUT045,1307.142578125
FDT13,OUT018,2870.556640625
FDE09,OUT046,1437.373046875
NCK53,OUT019,307.130859375
FDG45,OUT049,4707.388671875
DRH15,OUT035,1500.173828125
FDO21,OUT019,504.697265625
FDD14,OUT027,4200.767578125
FDC09,OUT046,1311.056640625
FDH45,OUT027,2263.412109375
FDV32,OUT046,1440.205078125
FDG12,OUT035,2341.623046875
FDS32,OUT013,1923.990234375
NCL55,OUT018,3437.388671875
DRE01,OUT035,4049.873046875
DRE15,OUT049,1347.138671875
NCL42,OUT045,5826.345703125
FDP31,OUT013,743.580078125
FDN33,OUT018,673.478515625
FDZ59,OUT046,3146.884765625
FDE45,OUT010,1575.267578125
FDJ07,OUT013,1623.111328125
FDQ45,OUT018,2466.333984375
FDM33,OUT027,5379.525390625
FDO15,OUT010,0.0
FDM46,OUT013,1477.513671875
FDR03,OUT045,4037.408203125
FDY49,OUT018,1896.193359375
FDQ60,OUT045,1968.583984375
FDW10,OUT049,4027.080078125
FDO51,OUT049,443.455078125
FDJ40,OUT018,1647.287109375
FDS20,OUT018,2591.232421875
FDU45,OUT013,2142.044921875
FDV02,OUT035,2583.728515625
FDN09,OUT046,3068.544921875
NCM55,OUT027,4404.119140625
FDN23,OUT018,2294.060546875
FDY31,OUT010,416.478515625
FDW03,OUT010,65.353515625
FDD14,OUT046,2757.978515625
FDV23,OUT017,2285.197265625
DRI03,OUT045,2793.056640625
FDN13,OUT035,1520.833984375
FDF45,OUT027,2716.638671875
FDU46,OUT035,1710.962890625
FDB57,OUT049,3829.990234375
FDV12,OUT049,2371.384765625
FDQ58,OUT013,2017.755859375
NCA18,OUT017,1648.150390625
FDH52,OUT049,1122.271484375
FDM24,OUT018,1585.873046875
NCP43,OUT027,4011.943359375
NCO18,OUT019,1198.767578125
FDM32,OUT017,1443.064453125
NCL07,OUT017,678.619140625
FDK03,OUT013,5101.626953125
FDP59,OUT017,1674.044921875
FDQ24,OUT049,4459.048828125
FDQ16,OUT018,1942.349609375
FDU44,OUT013,2828.955078125
FDH28,OUT010,0.0
FDV28,OUT019,0.0
FDM22,OUT045,1031.216796875
FDR56,OUT046,4142.583984375
FDV39,OUT049,3128.412109375
FDU37,OUT019,0.0
FDQ11,OUT010,992.974609375
FDX02,OUT045,4129.291015625
NCS42,OUT018,1542.255859375
FDY57,OUT027,3023.302734375
FDB21,OUT049,4103.619140625
FDE28,OUT017,3714.947265625
FDQ55,OUT017,2161.134765625
FDA48,OUT049,4440.060546875
FDZ19,OUT045,2470.951171875
NCC43,OUT045,2613.458984375
NCV18,OUT046,2778.333984375
NCA42,OUT018,2612.896484375
FDY45,OUT046,3484.146484375
NCC30,OUT045,2129.001953125
FDM57,OUT013,1132.201171875
FDL09,OUT010,0.0
FDB09,OUT027,2873.099609375
FDT44,OUT035,1696.283203125
NCT06,OUT027,3835.201171875
FDX26,OUT049,2918.525390625
FDK32,OUT013,3150.150390625
DRA12,OUT046,2165.732421875
FDO46,OUT010,1059.498046875
FDE52,OUT013,2044.189453125
NCH42,OUT045,4131.732421875
FDV08,OUT035,441.412109375
FDB47,OUT018,1956.244140625
FDC28,OUT010,0.0
FDD22,OUT046,3452.568359375
FDS07,OUT027,2956.212890625
DRI13,OUT045,3124.248046875
FDG32,OUT018,3117.302734375
FDU14,OUT017,4287.373046875
FDD28,OUT019,0.0
NCP41,OUT017,1991.681640625
FDS08,OUT049,1730.529296875
FDX47,OUT045,2369.845703125
FDC53,OUT019,0.0
FDQ19,OUT035,4951.326171875
FDL14,OUT045,2272.904296875
FDM33,OUT019,2039.306640625
FDA51,OUT045,1576.798828125
FDZ27,OUT018,533.990234375
FDT04,OUT046,868.310546875
DRC13,OUT049,1733.556640625
FDR16,OUT027,6156.267578125
FDQ03,OUT027,3809.103515625
FDE38,OUT035,3085.380859375
DRH23,OUT027,2573.892578125
FDT11,OUT019,642.333984375
FDD09,OUT035,3239.205078125
FDR40,OUT045,1063.400390625
FDX07,OUT017,3228.951171875
FDR07,OUT035,1471.162109375
FDA51,OUT017,1748.552734375
FDT59,OUT019,1716.748046875
FDF20,OUT017,3470.697265625
FDR13,OUT045,1194.388671875
FDY26,OUT049,4445.208984375
FDW04,OUT017,2459.291015625
FDK52,OUT017,4024.443359375
FDN60,OUT049,3015.220703125
FDM09,OUT019,31.951171875
FDP46,OUT049,1967.267578125
FDB50,OUT019,0.0
NCQ29,OUT049,2406.263671875
FDP16,OUT027,5726.470703125
FDX33,OUT018,2192.087890625
FDP07,OUT010,693.908203125
FDN22,OUT046,3382.162109375
FDF39,OUT049,5629.197265625
FDS21,OUT017,1379.548828125
NCM42,OUT013,1405.291015625
FDK50,OUT019,1184.130859375
DRF13,OUT027,4142.748046875
FDH35,OUT018,2068.435546875
FDP60,OUT018,1162.779296875
DRJ49,OUT027,3410.919921875
NCT42,OUT019,0.0
FDE38,OUT049,3014.443359375
FDI04,OUT049,3224.623046875
NCH54,OUT045,2253.509765625
FDT56,OUT049,1060.349609375
DRD15,OUT018,2754.595703125
FDV58,OUT013,2475.708984375
FDP21,OUT049,3832.134765625
FDH05,OUT013,3824.216796875
FDR10,OUT027,3729.912109375
NCP06,OUT045,1794.138671875
FDF33,OUT049,2053.572265625
DRK37,OUT013,4094.962890625
DRH49,OUT045,1042.361328125
FDT58,OUT013,2144.912109375
FDD41,OUT018,1171.607421875
FDP40,OUT018,1469.482421875
FDM51,OUT027,3215.708984375
FDO45,OUT010,0.0
FDW33,OUT010,0.0
FDY24,OUT045,1205.958984375
FDB10,OUT010,284.595703125
FDM40,OUT035,2027.810546875
NCI06,OUT017,3628.306640625
FDW12,OUT019,151.763671875
FDX48,OUT027,3866.958984375
NCW05,OUT027,4642.775390625
FDX27,OUT017,1710.275390625
DRM37,OUT045,4196.853515625
FDA38,OUT045,2376.560546875
FDR36,OUT046,952.798828125
FDZ45,OUT046,3353.263671875
FDG05,OUT017,2046.216796875
FDK28,OUT013,4907.099609375
FDV47,OUT045,1461.896484375
FDN21,OUT045,1872.771484375
FDP20,OUT027,2689.099609375
FDI35,OUT045,3920.509765625
DRY23,OUT013,553.791015625
FDA56,OUT017,2567.654296875
FDB09,OUT013,1463.841796875
NCO26,OUT027,3509.689453125
FDQ49,OUT018,1340.646484375
FDI52,OUT027,3005.201171875
FDZ44,OUT027,2916.384765625
FDZ09,OUT018,2651.357421875
FDY03,OUT049,1845.994140625
NCG42,OUT017,1974.376953125
DRI13,OUT027,4623.154296875
FDQ32,OUT013,2321.412109375
FDW16,OUT035,1996.380859375
FDU27,OUT046,958.388671875
FDR28,OUT010,697.251953125
FDQ49,OUT010,0.0
FDS37,OUT046,1732.517578125
FDW26,OUT018,2442.826171875
FDX12,OUT018,3729.080078125
NCP06,OUT013,1883.837890625
FDW45,OUT010,494.595703125
NCN30,OUT049,1181.724609375
FDN24,OUT049,1162.740234375
NCL41,OUT027,2077.935546875
FDR02,OUT019,253.529296875
FDD09,OUT010,1151.775390625
FDS33,OUT010,0.0
FDU22,OUT045,2630.794921875
FDI53,OUT013,1738.482421875
DRH01,OUT049,2740.029296875
FDX32,OUT013,2387.060546875
NCP30,OUT018,218.978515625
FDB60,OUT045,2968.013671875
FDB14,OUT049,1953.162109375
NCP02,OUT035,1277.876953125
FDJ10,OUT017,2179.111328125
FDG34,OUT046,1406.216796875
NCB18,OUT017,2038.751953125
FDM16,OUT049,1696.673828125
FDW25,OUT018,531.693359375
FDB35,OUT010,0.0
DRN11,OUT013,2282.435546875
FDF41,OUT019,1854.826171875
FDH16,OUT045,1063.689453125
NCQ50,OUT018,3754.369140625
DRH23,OUT018,848.388671875
DRJ37,OUT013,2448.748046875
DRJ24,OUT027,3884.091796875
FDY16,OUT035,3611.888671875
FDQ27,OUT045,2062.837890625
FDZ33,OUT045,2014.373046875
FDF29,OUT045,1810.576171875
FDA08,OUT049,2257.501953125
FDG31,OUT046,1180.994140625
FDE34,OUT019,1448.302734375
NCR30,OUT027,2565.033203125
FDV33,OUT035,3451.091796875
DRZ24,OUT018,2030.630859375
NCL54,OUT035,3102.548828125
FDR12,OUT049,2168.689453125
NCC54,OUT046,4190.580078125
DRN59,OUT013,463.705078125
FDX50,OUT019,0.0
FDV31,OUT027,3597.623046875
NCA29,OUT027,4401.927734375
FDW60,OUT049,2791.478515625
FDX08,OUT017,2526.162109375
DRD49,OUT013,3613.822265625
FDD33,OUT046,4004.365234375
FDW35,OUT013,838.255859375
FDJ36,OUT017,1573.970703125
FDV51,OUT035,2363.025390625
FDW36,OUT046,1319.986328125
FDH35,OUT046,2350.951171875
NCS30,OUT027,3704.908203125
FDN49,OUT017,912.779296875
FDL08,OUT018,3069.427734375
FDI09,OUT013,4099.154296875
FDP19,OUT018,2052.458984375
FDU21,OUT010,0.0
NCP41,OUT045,1819.744140625
FDY10,OUT013,1914.908203125
FDP12,OUT018,121.873046875
NCN26,OUT049,2320.052734375
FDK44,OUT013,1916.212890625
FDC28,OUT049,1543.501953125
FDJ41,OUT027,4899.642578125
NCT29,OUT035,1930.322265625
NCH42,OUT019,2305.083984375
FDU60,OUT018,3485.892578125
FDS02,OUT045,3497.595703125
FDC51,OUT046,2075.103515625
FDU03,OUT013,2407.236328125
FDX39,OUT045,3858.931640625
NCY05,OUT010,0.0
NCL06,OUT027,4957.201171875
FDD32,OUT035,1247.958984375
NCN41,OUT045,1891.298828125
NCX53,OUT049,3091.533203125
FDU57,OUT019,464.173828125
FDQ23,OUT046,1748.212890625
FDQ52,OUT045,4775.099609375
FDC14,OUT045,805.255859375
FDY09,OUT035,2090.869140625
FDQ28,OUT045,2789.408203125
FDV25,OUT046,4837.955078125
FDJ07,OUT035,1749.224609375
DRB25,OUT049,1828.525390625
FDK52,OUT019,2013.873046875
FDY52,OUT027,2489.958984375
FDB28,OUT046,2440.873046875
FDT36,OUT035,911.455078125
FDV25,OUT017,4953.455078125
NCN07,OUT027,3289.814453125
FDC57,OUT017,2492.515625
FDQ03,OUT018,2083.89453125
FDU23,OUT017,3030.654296875
NCX41,OUT035,3197.732421875
NCD06,OUT035,839.763671875
FDW08,OUT045,1034.587890625
NCU29,OUT017,2849.095703125
NCE06,OUT013,1768.060546875
FDV52,OUT010,124.283203125
FDB02,OUT017,3490.876953125
NCR18,OUT045,267.552734375
FDK16,OUT049,2081.591796875
NCQ29,OUT010,368.837890625
FDZ01,OUT019,0.0
FDW27,OUT035,2244.974609375
FDD17,OUT018,3406.431640625
FDW39,OUT013,2428.802734375
DRH59,OUT045,1187.384765625
FDS52,OUT013,1752.517578125
FDU40,OUT027,3984.732421875
NCF54,OUT013,2830.154296875
FDH46,OUT045,1338.583984375
NCP14,OUT049,2572.072265625
FDH50,OUT049,2977.505859375
DRF15,OUT010,0.0
FDV27,OUT027,2906.943359375
NCJ06,OUT049,1882.423828125
FDN02,OUT018,3231.208984375
FDQ51,OUT049,888.048828125
FDQ07,OUT017,3413.802734375
FDS45,OUT049,2451.986328125
NCJ06,OUT045,1737.552734375
FDD36,OUT035,1840.287109375
FDY25,OUT045,4680.037109375
FDU52,OUT046,1956.931640625
DRK47,OUT017,3401.935546875
NCL30,OUT017,2760.986328125
FDN22,OUT035,3541.544921875
NCF30,OUT027,3495.677734375
FDK03,OUT035,5227.662109375
FDT45,OUT017,1060.654296875
NCC54,OUT027,5633.271484375
FDP08,OUT018,3013.677734375
FDU44,OUT046,2795.611328125
DRG39,OUT035,1206.005859375
FDU32,OUT049,2172.525390625
FDY27,OUT049,2121.548828125
NCP54,OUT013,2168.775390625
NCZ41,OUT049,1917.177734375
DRL49,OUT013,1231.103515625
FDI05,OUT018,1179.396484375
FDY56,OUT045,3999.818359375
DRC13,OUT013,1678.412109375
NCV29,OUT017,2808.025390625
FDR24,OUT049,1205.662109375
FDZ34,OUT018,4470.873046875
FDP37,OUT035,2584.802734375
FDX08,OUT027,3853.146484375
FDS57,OUT045,1848.724609375
NCG18,OUT049,2047.619140625
FDK25,OUT018,3114.076171875
FDH53,OUT049,1600.087890625
DRI59,OUT018,3524.333984375
FDA52,OUT046,2560.103515625
FDT20,OUT010,0.0
FDE36,OUT019,1881.123046875
FDI24,OUT017,3742.736328125
FDB28,OUT018,2158.271484375
FDV11,OUT017,2253.068359375
FDP01,OUT046,1876.248046875
FDD34,OUT027,3821.095703125
FDJ50,OUT027,2360.650390625
FDZ44,OUT013,1507.119140625
DRO59,OUT035,1638.013671875
DRB48,OUT045,577.998046875
FDR21,OUT018,2101.083984375
NCE42,OUT010,2617.685546875
FDO23,OUT046,1617.189453125
NCE30,OUT018,2114.271484375
FDQ22,OUT035,270.251953125
FDY01,OUT045,1815.646484375
FDS08,OUT017,1757.548828125
FDG28,OUT018,2232.388671875
FDQ51,OUT018,517.091796875
FDB05,OUT017,3302.525390625
FDO56,OUT049,1802.275390625
FDE02,OUT018,1591.189453125
FDN45,OUT017,3196.361328125
FDS09,OUT013,789.513671875
NCA54,OUT018,2416.560546875
FDP09,OUT010,1476.810546875
FDC53,OUT045,1287.197265625
NCM55,OUT017,3076.974609375
FDL09,OUT018,1407.388671875
FDA11,OUT019,0.0
FDA50,OUT045,1412.814453125
FDC23,OUT017,3598.130859375
FDE22,OUT049,2612.271484375
FDD23,OUT046,3316.943359375
NCA29,OUT049,3047.853515625
FDK38,OUT046,2294.162109375
DRC13,OUT046,1645.142578125
NCP43,OUT049,2657.880859375
FDX28,OUT049,1848.564453125
FDF08,OUT049,1676.876953125
FDZ33,OUT046,2070.814453125
FDD10,OUT049,1945.025390625
FDO58,OUT017,2451.822265625
FDI50,OUT017,5112.416015625
FDO58,OUT045,2279.853515625
FDX08,OUT013,2443.919921875
NCK17,OUT010,0.0
FDF39,OUT035,5692.763671875
FDU45,OUT010,177.154296875
NCJ18,OUT018,1842.083984375
DRC27,OUT019,1173.154296875
DRC25,OUT035,1668.888671875
FDU59,OUT035,3058.076171875
FDU28,OUT035,2316.818359375
NCP30,OUT046,501.455078125
